year,month,close
2013,12,1229.5
2014,1,1225.0
2014,2,1262.0
2014,3,1349.5
2014,4,1283.75
2014,5,1278.5
2014,6,1247.25
2014,7,1327.5
2014,8,1291.25
2014,9,1286.5
2014,10,1216.5
2014,11,1167.75
2014,12,1194.0
2015,1,1172.0
2015,2,1272.5
2015,3,1212.5
2015,4,1197.0
2015,5,1175.95
2015,6,1199.9
2015,7,1168.0
2015,8,1091.9
2015,9,1142.3
2015,10,1119.0
2015,11,1134.0
2015,12,1065.4
2016,1,1082.25
2016,2,1126.5
2016,3,1236.5
2016,4,1213.6
2016,5,1294.0
2016,6,1214.5
2016,7,1340.0
2016,8,1349.65
2016,9,1309.5
2016,10,1313.3
2016,11,1288.45
2016,12,1161.85
2017,1,1151.0
2017,2,1203.65
2017,3,1240.4
2017,4,1247.25
2017,5,1255.45
2017,6,1264.85
2017,7,1229.25
2017,8,1270.95
2017,9,1320.4
2017,10,1273.7
2017,11,1277.05
2017,12,1275.5
2018,1,1312.05
2018,2,1341.35
2018,3,1307.75
2018,4,1333.45
2018,5,1307.1
2018,6,1294.6
2018,7,1247.8
2018,8,1219.0
2018,9,1200.05
2018,10,1189.35
2018,11,1231.15
2018,12,1230.3
2019,1,1317.84
2019,2,1287.2
2019,3,1291.92
2019,4,1279.03
2019,5,1309.43
2019,6,1431.5
2019,7,1438.39
2019,8,1520.54
2019,9,1473.67
2019,10,1459.0
2019,11,1461.23
2019,12,1557.97
2020,1,1569.95
2020,2,1700.17
2020,3,1648.61
2020,4,1714.26
2020,5,1685.34
2020,6,1785.9
2020,7,2036.58
2020,8,1933.63
2020,9,1903.11
2020,10,1930.33
