Date,Gold Price Fix AM in US dollars per troy ounce,Gold Price Fix PM in US dollars per troy ounce
"June 25, 2002",$323.10 oz,$321.70 oz
"June 26, 2002",$324.60 oz,$321.55 oz
"June 27, 2002",$319.45 oz,$318.80 oz
"June 28, 2002",$319.05 oz,$318.50 oz
"July 1, 2002",$312.30 oz,$312.10 oz
"July 2, 2002",$312.90 oz,$314.45 oz
"July 3, 2002",$312.85 oz,$310.85 oz
"July 4, 2002",$310.90 oz,$310.60 oz
"July 5, 2002",$310.75 oz,$311.30 oz
"July 8, 2002",$313.00 oz,$311.70 oz
"July 9, 2002",$312.45 oz,$313.80 oz
"July 10, 2002",$315.95 oz,$314.80 oz
"July 11, 2002",$314.50 oz,$314.15 oz
"July 12, 2002",$316.50 oz,$316.70 oz
"July 15, 2002",$316.35 oz,$319.00 oz
"July 16, 2002",$320.35 oz,$318.25 oz
"July 17, 2002",$317.75 oz,$316.15 oz
"July 18, 2002",$316.60 oz,$317.65 oz
"July 19, 2002",$319.15 oz,$322.90 oz
"July 22, 2002",$324.00 oz,$322.90 oz
"July 23, 2002",$320.30 oz,$319.70 oz
"July 24, 2002",$313.60 oz,$311.25 oz
"July 25, 2002",$310.25 oz,$309.45 oz
"July 26, 2002",$308.60 oz,$304.95 oz
"July 29, 2002",$303.05 oz,$303.00 oz
"July 30, 2002",$304.45 oz,$305.40 oz
"July 31, 2002",$305.50 oz,$304.65 oz
"August 1, 2002",$300.65 oz,$302.25 oz
"August 2, 2002",$306.50 oz,$305.05 oz
"August 5, 2002",$307.60 oz,$309.50 oz
"August 6, 2002",$306.75 oz,$305.75 oz
"August 7, 2002",$307.80 oz,$312.20 oz
"August 8, 2002",$312.95 oz,$312.15 oz
"August 9, 2002",$309.60 oz,$312.95 oz
"August 12, 2002",$316.25 oz,$316.70 oz
"August 13, 2002",$314.70 oz,$313.80 oz
"August 14, 2002",$316.25 oz,$315.65 oz
"August 15, 2002",$312.70 oz,$312.65 oz
"August 16, 2002",$314.55 oz,$314.20 oz
"August 19, 2002",$313.05 oz,$310.10 oz
"August 20, 2002",$307.60 oz,$308.00 oz
"August 21, 2002",$308.35 oz,$306.55 oz
"August 22, 2002",$306.45 oz,$305.40 oz
"August 23, 2002",$305.80 oz,$305.95 oz
"August 27, 2002",$309.40 oz,$310.50 oz
"August 28, 2002",$310.95 oz,$311.10 oz
"August 29, 2002",$310.65 oz,$312.10 oz
"August 30, 2002",$312.40 oz,$312.80 oz
"September 2, 2002",$312.25 oz,$312.00 oz
"September 3, 2002",$313.50 oz,$313.50 oz
"September 4, 2002",$312.70 oz,$313.00 oz
"September 5, 2002",$316.20 oz,$317.55 oz
"September 6, 2002",$317.90 oz,$319.25 oz
"September 9, 2002",$322.20 oz,$322.50 oz
"September 10, 2002",$318.35 oz,$319.10 oz
"September 11, 2002",$317.15 oz,$315.50 oz
"September 12, 2002",$318.00 oz,$318.85 oz
"September 13, 2002",$318.50 oz,$318.80 oz
"September 16, 2002",$316.55 oz,$315.35 oz
"September 17, 2002",$315.30 oz,$315.90 oz
"September 18, 2002",$317.60 oz,$318.70 oz
"September 19, 2002",$320.15 oz,$322.25 oz
"September 20, 2002",$321.55 oz,$322.30 oz
"September 23, 2002",$323.45 oz,$322.50 oz
"September 24, 2002",$323.30 oz,$326.30 oz
"September 25, 2002",$325.25 oz,$325.15 oz
"September 26, 2002",$322.35 oz,$319.60 oz
"September 27, 2002",$320.15 oz,$320.05 oz
"September 30, 2002",$322.40 oz,$323.70 oz
"October 1, 2002",$322.60 oz,$321.75 oz
"October 2, 2002",$320.40 oz,$322.20 oz
"October 3, 2002",$322.70 oz,$322.10 oz
"October 4, 2002",$321.65 oz,$320.30 oz
"October 7, 2002",$322.35 oz,$321.75 oz
"October 8, 2002",$320.70 oz,$319.00 oz
"October 9, 2002",$318.80 oz,$319.35 oz
"October 10, 2002",$319.50 oz,$318.95 oz
"October 11, 2002",$317.10 oz,$316.85 oz
"October 14, 2002",$318.00 oz,$317.75 oz
"October 15, 2002",$317.50 oz,$316.20 oz
"October 16, 2002",$314.00 oz,$314.05 oz
"October 17, 2002",$312.80 oz,$310.75 oz
"October 18, 2002",$312.45 oz,$312.75 oz
"October 21, 2002",$313.40 oz,$312.60 oz
"October 22, 2002",$311.65 oz,$312.55 oz
"October 23, 2002",$313.40 oz,$312.10 oz
"October 24, 2002",$311.10 oz,$311.75 oz
"October 25, 2002",$312.30 oz,$313.00 oz
"October 28, 2002",$313.30 oz,$314.45 oz
"October 29, 2002",$316.35 oz,$317.15 oz
"October 30, 2002",$316.80 oz,$316.55 oz
"October 31, 2002",$316.35 oz,$316.90 oz
"November 1, 2002",$318.75 oz,$319.85 oz
"November 4, 2002",$317.20 oz,$317.55 oz
"November 5, 2002",$318.90 oz,$318.50 oz
"November 6, 2002",$317.50 oz,$317.30 oz
"November 7, 2002",$319.70 oz,$319.25 oz
"November 8, 2002",$322.55 oz,$321.70 oz
"November 11, 2002",$321.10 oz,$320.70 oz
"November 12, 2002",$321.90 oz,$321.75 oz
"November 13, 2002",$323.20 oz,$324.00 oz
"November 14, 2002",$318.60 oz,$318.60 oz
"November 15, 2002",$318.50 oz,$319.10 oz
"November 18, 2002",$319.80 oz,$318.75 oz
"November 19, 2002",$319.80 oz,$319.70 oz
"November 20, 2002",$319.00 oz,$318.85 oz
"November 21, 2002",$318.40 oz,$317.65 oz
"November 22, 2002",$318.20 oz,$317.70 oz
"November 25, 2002",$319.50 oz,$317.45 oz
"November 26, 2002",$318.00 oz,$317.50 oz
"November 27, 2002",$318.20 oz,$317.85 oz
"November 28, 2002",$317.30 oz,$317.60 oz
"November 29, 2002",$318.25 oz,$319.05 oz
"December 2, 2002",$317.30 oz,$316.45 oz
"December 3, 2002",$317.70 oz,$319.70 oz
"December 4, 2002",$320.70 oz,$322.10 oz
"December 5, 2002",$322.10 oz,$322.45 oz
"December 6, 2002",$325.30 oz,$325.75 oz
"December 9, 2002",$325.30 oz,$325.10 oz
"December 10, 2002",$325.95 oz,$323.10 oz
"December 11, 2002",$323.75 oz,$324.25 oz
"December 12, 2002",$326.15 oz,$326.40 oz
"December 13, 2002",$333.50 oz,$332.20 oz
"December 16, 2002",$332.90 oz,$333.00 oz
"December 17, 2002",$341.00 oz,$339.00 oz
"December 18, 2002",$337.05 oz,$338.00 oz
"December 19, 2002",$345.75 oz,$345.00 oz
"December 20, 2002",$343.10 oz,$341.60 oz
"December 23, 2002",$343.90 oz,$343.95 oz
"December 24, 2002",$345.00 oz,
"December 27, 2002",$348.30 oz,$349.30 oz
"December 30, 2002",$348.50 oz,$347.20 oz
"December 31, 2002",$342.75 oz,$276.50 oz
