pub_date,abstract,compound,neg,neu,pos
12/1/1993,"  When the nation's retailers locked their doors Friday evening after a 29-day holiday season that began the day after Thanksgiving, many were relieved that a late surge of shopping would produce modestly respectable sales figures.   ""It was explosive the last few days before Christmas,"" said Walter F. Loeb, a consultant in New York who works with leading retailers. ""Customers were rushing to the stores.""",0.802,0,0.876,0.124
11/1/1993,"  There was little consistency in the October sales figures reported yesterday by most of the major retail chains, leaving merchants with few hints about how they will fare during the critical holiday sales season.   For every department store operator that had sluggish sales in October, there was one with healthy gains, a pattern that held true for most other types of retailers.",0.6808,0.071,0.779,0.15
11/1/1993,"  Never mind that holly boughs, tinsel and blinking lights have festooned store windows and shopping malls since Halloween. Tomorrow, the annual holiday shopping season officially begins, the most profitable time of year for retailers. But there is little consensus about just how strong sales will be this year.   In the past, estimates of holiday sales have tended to converge as Thanksgiving approached. What started out as very different predictions in September following back-to-school sales usually ended up as very similar estimates as Christmas drew nearer and a herd mentality seized the financial community.",0.8977,0,0.881,0.119
12/1/1993,"  Although holiday sales have proved somewhat disappointing, what with cold weather and consumers' resolute resistance to anything but bargain-basement prices, disconsolate retailers can take heart.    The Appert Gift Wrap Indicator predicts that sales of nondurable goods will rise 4.9 percent in the fourth quarter, not as much as last year's jump, but stronger than recent sales would suggest.",0.5017,0.093,0.753,0.154
11/1/1993,"  Reviews were upbeat yesterday for the traditional opening weekend of the holiday shopping season, but merchants refused to read too much into the sales data flooding into their laptop computers.   The 29 days between Thanksgiving and Christmas will be the most profitable time of year for many retail companies, but consumer spending during the first weekend is no longer considered a reliable barometer because shoppers now do the bulk of their holiday shopping in the final week of the season.",0.6236,0.063,0.829,0.109
12/1/1993,"  Shares of the Sharper Image Company surged 37 percent yesterday after the retailer, known for selling quirky gadgets and toys, said its holiday sales were beating its projections. ""The season has been steadily improving as its draws to a close,"" Craig Womack, president of Sharper Image, said in a news release. Its stock closed up $1.375, to $5.125. ""As long as January remains on plan, we expect to report a substantial earnings gain over last year, in the range of 200 percent to 300 percent,"" Mr. Womack said. The company sells merchandise in its 76 stores, in department stores, on television shopping programs and through its catalogue.",0.836,0.026,0.86,0.113
12/1/1993,"  Consumers are taking merchants on a roller coaster ride this holiday season, jamming to overflowing parking lots outside malls and strip centers one day, and staying home en masse the next.   So erratic has their business been that many retailers say they will not really know how they fared during their peak sales and profit period -- the weeks between Thanksgiving and Christmas -- until the proverbial fat lady sings, and they do not expect her to make a curtain call until Christmas Eve.",0.7206,0,0.93,0.07
12/1/1993,"  R. H. Macy & Company reported yesterday that despite slipping sales volume, cash flow was markedly stronger in its first fiscal quarter, largely because of cuts in expenses.   Because of a change in accounting practices, Macy, which is operating under bankruptcy court protection from creditors, had earnings of $67.4 million in the quarter, in contrast to a loss of $135.9 million in the corresponding period last year. Without the accounting change, it would have posted a $117.9 million loss in the quarter that ended Oct. 30.",-0.4939,0.078,0.892,0.03
12/1/1993,"  A bright red stamp in the middle of the cover of the latest J. Peterman catalogue entices last-minute shoppers with a promise that orders placed by noon on Dec. 23 will arrive in time for Christmas.   Wolferman's, a mail-order company that sells baked goods, has mailed a postcard guaranteeing customers delivery in time for Christmas.",0.6369,0,0.904,0.096
11/1/1993,"  Business conditions in most of the country improved at a ""slow to moderate"" clip during September and October, but large pockets on both seaboards remained lackluster, an anecdotal survey of the Federal Reserve Board's 12 districts showed today.   The findings of the central bank, though noting renewed strength in motor vehicles and housing, struck much the same tone as two months ago when it also described national growth as ""slow to moderate,"" and seemed less buoyant than implied by various recent statistics.",0.8466,0.028,0.843,0.129
12/1/1994,"RETAILERS and economic analysts said last week that sales for the holiday season on Long Island were running higher than last year, a sign of a continued growth in consumer confidence and of strenth in the region's service sector. 

Strong sales would benefit Nassau and Suffolk Counties, where 8.5 percent sales taxes, the highest in the state, reap a bounty from seasonal sales that account for one-fifth of yearly municipal sales-tax revenues. Each county receives half the tax, a 4.25 percent share.",0.9442,0,0.808,0.192
12/1/1994,"  Shares of Toys ""R"" Us Inc. fell 9 percent yesterday as analysts cut earnings estimates after the retailer reported lower-than-expected sales for the holiday season. Robert J. Schweich, an analyst with Wert heim Schroder & Company, said Toys ""R"" Us probably failed to achieve domestic sales growth of 4 percent in stores open more than a year. The retailer, based in Paramus, N.J., reported a 7.4 percent gain in such sales last year. In addition, Mr. Schweich said, profits in Europe might increase to $130 million to $140 million, compared with earlier projections of $150 million. Shares of Toys ""R"" Us fell $3, to $30.175, on the New York Stock Exchange.",0.8979,0.045,0.804,0.152
11/1/1994,"  Mother Nature seems determined to keep merchants guessing about their prospects for the all-important holiday sales season, which officially begins the day after Thanksgiving.   The nation's chain stores said unseasonally balmy weather in several parts of the country contributed to slowing sales in October, the same reason they gave for September's weak performance.",0.5267,0.049,0.828,0.123
12/1/1994,"  Even as retailers take final markdowns as they prepare to bring in new merchandise, they worry that 1995 is shaping up as a difficult year.   The holiday selling season, which ended with a whimper on Saturday, was softer than many anticipated. And many merchants expect shoppers to suffer holiday hangovers nonetheless, when they begin receiving credit card bills next month.",-0.2263,0.129,0.755,0.116
11/1/1994,"HOLIDAY SALES

Holiday sales are already getting under way throughout the state.

""In Celebration of Hanukkah, Judaic Crafts"" will open at the Jewish Community Center in West Orange with a reception at 3 P.M. today. As the show continues through Nov. 21, many regular programs, like lectures and concerts, will begin their seasons.",0.824,0,0.848,0.152
12/1/1994,"  The nation's retail chains managed to ring up moderate sales gains in November, but only after jump-starting their businesses with holiday-related promotions.   The month was a cliffhanger for most retailers as sales, which were weak in September and October, stalled during the first three weeks of the month before picking up steam around Thanksgiving Day.",-0.6542,0.103,0.868,0.029
11/1/1994,"  Beth Findlay and her mother, Joan Gorelick, spent yesterday morning browsing at the Stamford Town Center in Stamford, Conn.    In Macy's, they picked up a couple of pairs of earrings that were already gift-wrapped and bought a sports shirt that was on sale for Mrs. Gorelick's husband, Dan. But mostly they just prowled the mall, trying to get into the holiday spirit.",0.5267,0,0.929,0.071
12/1/1994,"  The predictions of a strong holiday shopping season were apparently wishful thinking for many retailers, particularly in apparel.    While the numbers will not begin to come out until tomorrow, the early indications are that the season's sales, while above last year's, have not been what retailers hoped for or stocked for. ""It's not been a happy season,"" said Edward Johnson, the retailing analyst who compiles the Johnson Redbook Service, which tracks sales.",0.681,0.039,0.851,0.111
11/1/1994,"  Heavy advertising and promotional campaigns helped draw shoppers into stores during the weekend, and several retailers reported that their sales in the first two days of the holiday shopping season were slightly better than expected.    But most executives were circumspect about business, and one survey of foot traffic in 33 malls around the country found fewer shoppers this year than last year for the first weekend of holiday shopping.",0.791,0,0.892,0.108
12/1/1994,"  The prices of Treasury securities rose yesterday, and the yield on the 30-year bond fell to a three-month low in thin holiday trading.   The price of the 30-year bond rose 25/32 , to 971/32 , for a yield of 7.76 percent, down from 7.83 percent on Friday. The rates on the shorter-maturity bills were steady, and at the Treasury's weekly auction of three- and six-month bills, the discount rate declined for the third consecutive week.",0.5574,0.028,0.884,0.088
12/1/1995,"In this season of gift-giving, Macy's has decided that some members of its sales staff should give the company a Christmas present -- as much as half of their commissions.         Macy's has reduced the percentage of commission for sales representatives during the five-week holiday selling season, cutting deeply into the biggest paychecks many employees receive all year. The reduction hits most sales employees in 15 stores, many of them in the New York suburbs, as well as those who work in commissioned departments at other Macy's stores on the East Coast. A spokesman for Federated Department Stores Inc., which acquired R. H. Macy & Company in 1994 after it emerged from bankruptcy, estimated that about 3,000 sales associates were affected by the change.   ",0.4019,0.025,0.936,0.039
12/1/1995,"Retail sales rebounded last month, the Government reported yesterday, but analysts said consumers remained anxious and they continued to predict a brutally competitive Christmas for retailers.         According to the Commerce Department's early estimates, retail sales rose eight-tenths of 1 percent in November, more than expected, to a seasonally adjusted $197.9 billion.   ",-0.7876,0.145,0.817,0.037
12/1/1995,"The Standard & Poor's Corporation said today that it would not decide whether to downgrade Kmart's debt until the week of Jan. 8, giving the troubled retailer time to pump up holiday sales and negotiate a deal with debt holders.         The Kmart Corporation, which is based in Troy, Mich., is in talks to change the terms of $681 million in real estate debt, and the outcome could play a central role in the company's financial future.   ",-0.4588,0.125,0.786,0.089
12/1/1995,"New orders for computer chips declined in November, the Semiconductor Industry Association said today, indicating that demand could be slowing.         The trade group's book-to-bill ratio, a closely watched gauge of demand for computer chips, fell to 1.14 in November from 1.18 in October.   ",-0.25,0.07,0.93,0
11/1/1995,"Tom Luzod was determined to find the bargains, but it took some effort. By 6  A.M. yesterday, he was already at Michaels Arts and Crafts in San Jose, Calif.,  cleaning up at its ""50 percent off"" sale. By 7, he was at Mervyn's department store, where he was one of the first in line so he could scoop up a limited edition Joe Montana collectible trading card.         Not a bad morning's work, but Mr. Luzod, 44, was barely started. He arrived at Big 5, a sporting goods store, by 7:30. It was not open yet, but it let him in anyway, lest he lose his momentum.   ",0.2193,0.053,0.876,0.07
12/1/1995,"IT may be the season for glad tidings, but not so far this year for anxious retailers. In Westchester as elsewhere, shopkeepers are reporting brisk foot traffic in their stores in the weeks before Christmas -- but disappointing sales.         ""The bottom line is not how crowded the stores are, but how many shoppers are leaving with bags,"" said Harold E. Vogt, president and chief executive officer of the Westchester Chamber of Commerce. ""The consumers may be out there, but whether they're buying is another question.""   ",-0.5994,0.074,0.883,0.043
11/1/1995,"The fierce competition that has kept consumers awash in bargains has taken a  heavy toll on retailers, industry figures showed today.         Wal-Mart Stores Inc., the nation's largest chain, eked out a modest increase  in profits for its third fiscal quarter, but the Dayton Hudson Corporation, the J. C. Penney Company and the Woolworth Corporation all posted declines.   ",0.3818,0,0.936,0.064
12/1/1995,"BOGGED down with shopping bags from stores throughout the Roosevelt Field mall, Roy Cotignola and Mary-Jo Thompson were doing their holiday shopping at J. Crew.         ""We've already been to Kay-Bee, Disney, Warner Brothers, Learningsmith and the Nature Company,"" said Ms. Thompson, who traveled to the mall from Queens to  find the items on her holiday list.   ",0.6597,0,0.909,0.091
12/1/1995,"Economic growth is slowing in the United States, two new reports said today,  putting new pressure on the Federal Reserve to reduce interest rates and on Congress and the White House to reach a budget deal.         The Commerce Department announced this morning that its index of leading economic indicators had fallen by half a percentage point in October, the steepest drop since April and the seventh drop in the last nine months. The slide in October was larger than most economists expected and prompted some to warn of a recession if the Federal Reserve did not reduce short-term interest rates soon.   ",0.1027,0.116,0.773,0.111
11/1/1995,"I put together this collection of songs to accompany my novel, 'Where Love Goes,' so readers could have the experience of hearing some of the music I listen to when I write. And out of my lifelong belief that almost any experience goes better with music."" -- Joyce Maynard    TO: Murray Lawrence, Marketing Director FROM: Ed Branden, Publicity Coordinator      Murray:   ",0.8555,0,0.852,0.148
12/1/1996,"Retailers, as final week of holiday selling season begins, are finding their sales stuck between mediocre and decent, meaning that these last few days could be crucial to their success; there are five fewer shopping days this year because Thanksgiving weekend was later than usual; weather may also be turning against retailers; graphs (L)",0.6597,0.034,0.859,0.108
11/1/1996,"Intel Corp says it expects its fourth-quarter sales to significantly exceed sales of $5.14 billion in third quarter and that its gross margin would be wider, because of increase in new orders and strong holiday sales of personal computers (S)",0.6369,0.065,0.759,0.175
12/1/1996,Nordstrom Inc says it will report lower-than-expected earnings in its fourth quarter because of slow holiday sales (S),0.4019,0,0.863,0.137
12/1/1996,New Jersey retailers hope that brisk start to holiday shopping bodes well for season; photo; holiday shopping accounts for 25 to 30 percent of most retailers' annual sales (S),0.875,0,0.667,0.333
11/1/1996,Bargain holiday shopping in New York noted,0.5423,0,0.526,0.474
12/1/1996,Retailers report brisk sales on last weekend before Christmas; are optimistic that they will easily exceed weak 1995 sales (M),0.34,0.115,0.635,0.25
12/1/1996,Nordstrom Inc says that its fourth-quarter earnings will fall below Wall Street analysts' expectations because of slow sales during holiday period (S),0.4019,0,0.886,0.114
12/1/1996,"Westchester County artisans are pleased with holiday sales this Christmas; photo of scene at Handicraft Junction in Harrison, which represents work of 25 artisans (M)",0.6808,0,0.804,0.196
11/1/1996," Holiday Sales Open Briskly; Consumer Spending Climbs   On a day retailers call Black Friday -- for the black ink they hope will show up on balance sheets -- department stores and discount shops, particularly those displaying sale signs, were filled with shoppers, many of whom said they were feeling flush and ready to spend.    At the start of the crucial holiday shopping season, mass-market women's clothing was moving, as were favorite items as diverse as Tickle Me Elmo dolls and toasters. But demand was sluggish for expensive goods like computers, and many sales people in specialty stores had time on their hands. $(Page 1.$)    Consumer spending rebounded by a larger-than-expected five-tenths of a percent in October. Economists took the increase as a sign that Americans were ready to spend during the Christmas season after a summer lull. Personal incomes, however, were unchanged during the month. $(41.$)    For the Dow, a Buoyant Month   Stocks advanced in a shortened session, as the Dow Jones industrial average rose 22.36 points, to 6,521.70, giving it a gain of 8.16 percent in November, the most since a 9.47 percent climb in December 1991. The Nasdaq composite index rose 5.29 points, to 1,292.61, and was up 5.82 percent for the month. $(43.$)    Treasury Securities' Prices Rise   Prices of Treasury securities gained in quiet trading, thanks to overseas buying, portfolio managers' end-of-month buying and favorable economic data. The 30-year bond rose nearly a full percentage point to 10131/32 , pushing its yield down to 6.35 percent. $(43.$)    Hospital Rates to Be Deregulated   With hospital rates in New York scheduled to be deregulated on Jan. 1, thousands of companies face a deadline of midnight Monday to inform the state whether they plan to contribute to state funds to subsidize health care for the poor and to train physicians. Employers that miss the deadline will face big increases in hospital charges. $(31.$)    French Truckers Lift Barricades   Striking French truck drivers began lifting barricades blocking major highways after union and employer negotiators resolved most of the issues in a 12-day dispute that was strangling much of Western Europe's economy. In France, there was widespread sympathy for the truckers, reflecting mounting discontent with the economy. $(7.$)    Amtrak Computer Breaks Down   The computer system that controls Amtrak's ticketing nationwide broke down, leaving thousands of riders on the busiest travel weekend of the year standing in long lines as clerks wrote out tickets by hand -- often guessing at fares. $(30.$)    Dairy Farmers Lose, As Milk Prices Rise   Consumers are paying record prices for milk, cheese and many other dairy products -- 12.1 percent more than a year ago, the Government says. But prices paid to the nation's 150,000 dairy farmers have tumbled 25 percent recently. In the patchwork of free market forces and Government formulas that drive milk prices these days, it is the retailers that are fattening their profit margins. $(1.$)    Peaceworks, Doing Well to Do Good   ''There is no better way to create political stability than by having people work together and giving them economic incentives,'' says Daniel Lubetzky, a 28-year old entrepreneur. His company, Peaceworks, is successfully marketing foods made by Jews and Arabs cooperating for economic advantage. $(40.$)    Protesters Battle Mink Farmers   Tension crackles in Utah, home of the nation's largest number of mink farms. Prices have risen 60 percent this year to $53 a pelt, the highest level in more than 20 years, but animal rights' advocates have raided farms, freeing animals and destroying property and records. Farmers are joining armed patrols, seeking to protect their livelihood. $(9.$)    Fur is again in vogue, with sales in the United States up 10 percent last year to $1.2 billion, and strong 1996 sales are expected. $(9.$)  ",0.9878,0.041,0.842,0.117
12/1/1996,"Stock prices of several luxury retailers fall sharply, reflecting investors' fear that fourth-quarter results would be disappointing for some high-end merchants; several analysts cite Nordstrom's Inc's recent announcement that holiday sales will not meet expectations, as well as Montgomery Securities Inc's announcement that it is lowering its rating on Marks Brothers Jewelers Inc because sales could be lower and inventory levels higher than expected; graph showing daily closes of Nordstrom ad Saks Holdings, parent of Saks Fifth Avenue, since Aug 30; both retailers lost ground on Dec 30 (M)",-0.7096,0.128,0.803,0.069
12/1/1997,"Treasury prices ended slightly higher yesterday in very light trading.     Talk of disappointing holiday retail sales and the dollar's advance against the Japanese yen helped bonds yesterday, but traders said the moves were meaningless because they occurred on such thin trading volume.  ",-0.5719,0.126,0.805,0.069
12/1/1997,"Retailers Finding Sales Disappoint For The Holidays** Sparkling economy, record-low unemployment and fatter paychecks failed to translate into big holiday selling season retailers were counting on; retailers estimate sales rose scant 2% to 3% in December from year earlier, half gain some analysts had touted at start of holiday season; analysts say lackluster performance underscores harsh necessity for retailers to come to grips with diminishing role of Christmas-season sales and to find more creative ways of getting people to part with cash (M)",0.2944,0.13,0.729,0.142
12/1/1997,"It's become as much a part of the seasonal ritual as caroling and trimming the tree: moaning about disappointing holiday sales.    For the third consecutive year in a roaring economy, people didn't buy as much as experts thought they would. Retailers and those who watch them estimated that sales rose only 2 to 3 percent in December from the year before, about half the gain analysts had predicted at the start of the shopping season.  ",0.3612,0.059,0.862,0.079
12/1/1997,"Retail sales were light over Thanksgiving Day holiday weekend, despite packed malls and lines at discount stores; graph (M)",0.4019,0,0.87,0.13
12/1/1997,"National Association of Purchasing Management's annual forecast shows US manufacturers are optimistic about coming year despite uncertainty over Asia's financial crisis, expecting stronger revenues, increased employment and stable prices (S)",0.6293,0.104,0.61,0.286
11/1/1997,Outlook for investing in retailing stocks discussed in light of soaring retailing stock prices and hopes of robust holiday sales; holdings of some diversified mutual funds that have made large bets on retailing discussed; graphs; photos (M),0.7845,0,0.811,0.189
12/1/1997," NBC Losing 'Seinfeld' At the End of the Season   The most popular television comedy of the 1990's, ''Seinfeld,'' will shut down production at the end of this season. The decision by the show's creator and star, Jerry Seinfeld, is a blow to NBC, which has seen its prime-time strength weaken this season.  ",0.5657,0.089,0.761,0.15
12/1/1997,"Article contends that this holiday season may be first in which consumers give businesses that offer goods and services on Internet a significant amount of sales; many Internet merchants have found that volume is up sharply this year as more consumers learn how to find what they want and become comfortable that they will not be defrauded; American Express Co calculates that $4 billion to $6 billion will be spent making credit card purchases over Internet this year, with sales increasing at more than 400 percent pace annually; more conservatively, Forrester Research puts figure at $2.4 billion, double last year's total (M)",0.8786,0,0.888,0.112
12/1/1997,"James Jackson headed toward the J. C. Penney's in the Connecticut Post Mall in Milford, wearing a determined look and a dark leather jacket. His destination: the return and refund line.    ''I wouldn't wear these if it were 20 below,'' he said, displaying a pair of purple woolen gloves. ''I would rather get frostbite.''  ",0.34,0,0.954,0.046
11/1/1997,"Toy industry has high hopes for holiday season; unusually wide range of hot toys is on market this year, including some updated classics and several newcomers; action figures tied to blockbuster movies are already vanishing from store shelves, and plush toys have made comeback; industry is counting on broad mix of playthings to keep merchants from pinning their hopes on few standout toys that may be out of stock long before Christmas; Toy Manufacturers of America says it expects value of toys shipped to exceed last year's $14.5 billion by at least 5 percent; photos (M)",0.9274,0,0.86,0.14
12/1/1994,"RETAILERS and economic analysts said last week that sales for the holiday season on Long Island were running higher than last year, a sign of a continued growth in consumer confidence and of strenth in the region's service sector. 

Strong sales would benefit Nassau and Suffolk Counties, where 8.5 percent sales taxes, the highest in the state, reap a bounty from seasonal sales that account for one-fifth of yearly municipal sales-tax revenues. Each county receives half the tax, a 4.25 percent share.",0.9442,0,0.808,0.192
12/1/1994,"  Shares of Toys ""R"" Us Inc. fell 9 percent yesterday as analysts cut earnings estimates after the retailer reported lower-than-expected sales for the holiday season. Robert J. Schweich, an analyst with Wert heim Schroder & Company, said Toys ""R"" Us probably failed to achieve domestic sales growth of 4 percent in stores open more than a year. The retailer, based in Paramus, N.J., reported a 7.4 percent gain in such sales last year. In addition, Mr. Schweich said, profits in Europe might increase to $130 million to $140 million, compared with earlier projections of $150 million. Shares of Toys ""R"" Us fell $3, to $30.175, on the New York Stock Exchange.",0.8979,0.045,0.804,0.152
11/1/1994,"  Mother Nature seems determined to keep merchants guessing about their prospects for the all-important holiday sales season, which officially begins the day after Thanksgiving.   The nation's chain stores said unseasonally balmy weather in several parts of the country contributed to slowing sales in October, the same reason they gave for September's weak performance.",0.5267,0.049,0.828,0.123
12/1/1994,"  Even as retailers take final markdowns as they prepare to bring in new merchandise, they worry that 1995 is shaping up as a difficult year.   The holiday selling season, which ended with a whimper on Saturday, was softer than many anticipated. And many merchants expect shoppers to suffer holiday hangovers nonetheless, when they begin receiving credit card bills next month.",-0.2263,0.129,0.755,0.116
11/1/1994,"HOLIDAY SALES

Holiday sales are already getting under way throughout the state.

""In Celebration of Hanukkah, Judaic Crafts"" will open at the Jewish Community Center in West Orange with a reception at 3 P.M. today. As the show continues through Nov. 21, many regular programs, like lectures and concerts, will begin their seasons.",0.824,0,0.848,0.152
12/1/1994,"  The nation's retail chains managed to ring up moderate sales gains in November, but only after jump-starting their businesses with holiday-related promotions.   The month was a cliffhanger for most retailers as sales, which were weak in September and October, stalled during the first three weeks of the month before picking up steam around Thanksgiving Day.",-0.6542,0.103,0.868,0.029
11/1/1994,"  Beth Findlay and her mother, Joan Gorelick, spent yesterday morning browsing at the Stamford Town Center in Stamford, Conn.    In Macy's, they picked up a couple of pairs of earrings that were already gift-wrapped and bought a sports shirt that was on sale for Mrs. Gorelick's husband, Dan. But mostly they just prowled the mall, trying to get into the holiday spirit.",0.5267,0,0.929,0.071
12/1/1994,"  The predictions of a strong holiday shopping season were apparently wishful thinking for many retailers, particularly in apparel.    While the numbers will not begin to come out until tomorrow, the early indications are that the season's sales, while above last year's, have not been what retailers hoped for or stocked for. ""It's not been a happy season,"" said Edward Johnson, the retailing analyst who compiles the Johnson Redbook Service, which tracks sales.",0.681,0.039,0.851,0.111
11/1/1994,"  Heavy advertising and promotional campaigns helped draw shoppers into stores during the weekend, and several retailers reported that their sales in the first two days of the holiday shopping season were slightly better than expected.    But most executives were circumspect about business, and one survey of foot traffic in 33 malls around the country found fewer shoppers this year than last year for the first weekend of holiday shopping.",0.791,0,0.892,0.108
12/1/1994,"  The prices of Treasury securities rose yesterday, and the yield on the 30-year bond fell to a three-month low in thin holiday trading.   The price of the 30-year bond rose 25/32 , to 971/32 , for a yield of 7.76 percent, down from 7.83 percent on Friday. The rates on the shorter-maturity bills were steady, and at the Treasury's weekly auction of three- and six-month bills, the discount rate declined for the third consecutive week.",0.5574,0.028,0.884,0.088
12/1/1999,Holiday retail purchases made in New York City and paid for with checks increase 7.2 percent from last year; Mayor Rudolph Giuliani says data show strength of holiday shopping season in city (S),0.872,0,0.727,0.273
11/1/1999,"Commerce Department reports inventories rose four-tenths of 1 percent in September after three-tenths of 1 percent increase in August; business sales fell for first time since January, dropping two-tenths of 1 percent in September after 1.2 percent gain in August (S)",0.6908,0,0.863,0.137
12/1/1999,"Unseasonably warm weather put damper on retail sales for much of November, but exceptionally bullish week of shopping after Thanksgiving helped get nation's merchants back on track for strong Christmas season; sales rose 2.9 percent in November--smallest since September 1997 (M)",0.7096,0,0.869,0.131
12/1/1999,"Consumer optimism rebounded in November, bolstered by rising incomes and stock prices, just as retailers geared up for the holiday shopping season, Conference Board figures showed yesterday.    The consumer confidence index climbed to 135.8 in November from 130.5 in October, the New York-based research group reported. The index is the highest since August, and the increase follows four months of declines.  ",0.8957,0,0.828,0.172
12/1/1999,"Online holiday shopping is gnawing at business of traditional retailers this year, with preliminary indications that seasonal Internet sales may nearly triple from last year Visa, which represents about half nation's credit card spending, estimates that Internet shoppers using its cards will have spent $1.47 billion this November and December, 179 percent more than last year; in overall retail market that figure is still small, 1.79 persent of Visa's total retail sales; with economy buoyant and retail sales expected to rise an overall six percent this holiday season, big store chains have yet to see Internet take a substantial bite out of their sales; but this may mask a more troublesome phenomenon as stores find that their most affluent customers are the quickest to move online (M)",-0.138,0.037,0.9,0.063
11/1/1999,"Commerce Department reports personal incomes in October rose at fastest pace in five and half years; incomes rose 1.3 percent after no change in September; personal spending grew 0.6 percent, topping 0.5 percent in September; spending has risen at 7.4 percent annual rate in first 10 months of year, compared with 6.8 percent year earlier; graph (M)",-0.296,0.038,0.962,0
11/1/1999,"Goldman, Sachs retail composite index shows growth in retail sales eased in October; sales in stores open at least a year, key comparison in industry, rose 4.1 percent, smallest increase in six months, leading many analysts and economists to predict possible drop-off in consumer buying; graph; chart (M)",0.7269,0,0.861,0.139
12/1/1999,"Jim Frederick article on questions about just how momentous Internet commerce is going to become, questions that are hard to answer because of lack of kinds of historical patterns that are used to make forecasts about more mature industries; describes how Jupiter Communications and Forrester Research, two most prominent companies to have recognized Internet-certainty shortage, make prediction models; comments on forecasts that online advertising will be a $24 billion industry by 2003, 20 million households will trade stocks online that same year and consumers will have spent $6 billion online in holiday shopping by end of this month; drawing (M)",0.5699,0.053,0.868,0.078
12/1/1999,"Holiday season has proved to be far gloomier than expected for many Broadway shows; year after record-breaking box office and packed-to-the-rafters audiences, Broadway has had one of its slowest-selling weeks of year last week, with big drops in grosses and attendance; last show to open this century is Jackie Mason: Much Ado About Everything, which opened Dec 30, and last closing will be Epic Proportions, which folded on Dec 19; last show of 19th century was Ben-Hur, which opened Nov 29, 1899 at Broadway Theater; photo (M)",-0.1531,0.047,0.923,0.03
