DATE,Daily Gold Price LBMA AM FIX,Daily Gold Price LBMA PM FIX
"November 8, 2018","$1,223.45","$1,224.15"
"November 9, 2018","$1,219.05","$1,211.40"
"November 12, 2018","$1,207.05","$1,205.55"
"November 13, 2018","$1,197.55","$1,202.10"
"November 14, 2018","$1,201.45","$1,203.25"
"November 15, 2018","$1,210.60","$1,211.85"
"November 16, 2018","$1,215.80","$1,222.40"
"November 19, 2018","$1,223.55","$1,221.60"
"November 20, 2018","$1,223.10","$1,223.00"
"November 21, 2018","$1,224.00","$1,226.10"
"November 22, 2018","$1,228.25","$1,227.05"
"November 23, 2018","$1,222.15","$1,223.65"
"November 26, 2018","$1,226.65","$1,223.40"
"November 27, 2018","$1,225.05","$1,221.20"
"November 28, 2018","$1,213.20","$1,213.25"
"November 29, 2018","$1,226.45","$1,226.25"
"November 30, 2018","$1,220.45","$1,217.55"
"December 3, 2018","$1,231.05","$1,230.30"
"December 4, 2018","$1,239.25","$1,240.30"
"December 5, 2018","$1,236.15","$1,235.90"
"December 6, 2018","$1,236.45","$1,242.55"
"December 7, 2018","$1,241.20","$1,243.30"
"December 10, 2018","$1,246.80","$1,245.35"
"December 11, 2018","$1,248.25","$1,245.30"
"December 12, 2018","$1,244.75","$1,245.75"
"December 13, 2018","$1,244.45","$1,242.75"
"December 14, 2018","$1,239.15","$1,235.35"
"December 17, 2018","$1,239.10","$1,241.65"
"December 18, 2018","$1,248.80","$1,246.30"
"December 19, 2018","$1,248.60","$1,255.00"
"December 20, 2018","$1,255.00","$1,259.75"
"December 21, 2018","$1,257.60","$1,258.15"
"December 24, 2018","$1,261.25",--
"December 27, 2018","$1,271.10","$1,268.00"
"December 28, 2018","$1,277.25","$1,279.00"
"December 31, 2018","$1,281.65",--
